GROUP_ID,PERSON_ID
ARG_FRANCE_ENG,120020
ARG_SNSR_COREPRODUCT,103386
DOC_ACC_SHOP_LEAD,130052
DOC_ACC_SHOP_LEAD,100329
DOC_ACC_SALES,103513
DOC_ACC_ITAR,103404
ARG_HTR_PROD_SUP,103140
DOC_ACC_SHOP_LEAD,103573
ARG_FINANCE_COST,100800
DOC_ACC_MTRL_MNG,CDUCROS120028
DOC_ACC_ITAR,103504
DOC_ACC_MTRL_MNG,102507
DOC_ACC_MTRL_MNG,102322
DOC_ACC_ENG,103169
DOC_ACC_MTRL_MNG,120028
DOC_ACC_ITAR,103505
DOC_ACC_INSP,100120
DOC_ACC_INSP,100387
DOC_ACC_INSP,103113
DOC_ACC_DELIVERY,103239
DOC_ACC_MTRL_MNG,100754
DOC_ACC_FINANCE,100800
ARG_MRKT_SALES,100698
DOC_ACC_ITAR,100025
DOC_ACC_ITAR,100100
DOC_ACC_ITAR,100731
DOC_ACC_ITAR,100306
DOC_ACC_ITAR,100908
DOC_ACC_ITAR,100519
DOC_ACC_ENG,103142
DOC_ACC_ITAR,103385
DOC_ACC_ITAR,103511
DOC_ACC_ITAR,103513
DOC_ACC_ITAR,103161
ARG_FLX_DFT,103273
ARG_LOGISTICS,100061
ARG_LOGISTICS,102358
DOC_ACC_MTRL_MNG,103243
ARG_FRANCE_ENG,120058
DOC_ACC_SHOP_LEAD,103518
DOC_ACC_SHOP_LEAD,110610
DOC_ACC_SHOP_LEAD,110611
DOC_ACC_SHOP_LEAD,110613
DOC_ACC_QA_ENG,103229
DOC_ACC_ITAR,103150
DOC_ACC_SHOP_LEAD,110612
ARG_RCVG_INSP,100214
DOC_ACC_ITAR,103512
DOC_ACC_ITAR,103408
DOC_ACC_ITAR,110593
DOC_ACC_SHOP_LEAD,103527
DOC_ACC_SHOP_LEAD,103522
DOC_ACC_SHOP_LEAD,103532
DOC_ACC_SHOP_LEAD,110633
DOC_ACC_SHOP_LEAD,103571
DOC_ACC_SHOP_LEAD,103580
DOC_ACC_SHOP_LEAD,103575
DOC_ACC_QA_ENG,103028
DOC_ACC_ITAR,102501
DOC_ACC_SHOP_LEAD,103592
DOC_ACC_SHOP_LEAD,103593
DOC_ACC_ENG,103594
DOC_ACC_SHOP_LEAD,103588
ARG_ECO_SA,103558
DOC_ACC_SHOP_LEAD,103602
DOC_ACC_SHOP_LEAD,103607
DOC_ACC_QA_ENG,103609
DOC_ACC_SHOP_LEAD,103379
DOC_ACC_SHOP_LEAD,103610
DOC_ACC_SHOP_LEAD,103627
DOC_ACC_ITAR,103632
DOC_ACC_SHOP_LEAD,103657
DOC_ACC_SHOP_LEAD,103665
DOC_ACC_SHOP_LEAD,103686
DOC_ACC_SHOP_LEAD,103682
DOC_ACC_SHOP_LEAD,103655
DOC_ACC_ENG,103501
DOC_ACC_INSP,103655
TRAIN_QA,103501
DOC_ACC_ENG,100437
DOC_ACC_ITAR,103232
DOC_ACC_SHOP_LEAD,103469
DOC_ACC_ITAR,103114
DOC_ACC_ITAR,103087
DOC_ACC_ITAR,100836
DOC_ACC_ITAR,103126
DOC_ACC_MTRL_MNG,103364
DOC_ACC_MARKETING,103367
DOC_ACC_MTRL_MNG,110478
DOC_ACC_ENG_SUP,103126
DOC_ACC_MTRL_MNG,103323
DOC_ACC_SHOP_LEAD,103378
DOC_ACC_ENG_SUP,103381
ARG_TSR_SA,120104
DOC_ACC_MTRL_MNG,100853
DOC_ACC_SALES,1005
DOC_ACC_FINANCE,103384
ARG_FINANCE_AP,103384
DOC_ACC_ENG,103389
DOC_ACC_MTRL_MNG,110502
DOC_ACC_SHOP_LEAD,110564
DOC_ACC_SALES,103402
ARG_QUICK_TRN_ENG,103401
DOC_ACC_SHOP_LEAD,110509
DOC_ACC_ENG_SUP,100845
TS_MFG_TECHS,100519
TS_MFG_TECHS,102519
DOC_ACC_QA_ENG,130034
DOC_ACC_ITAR,103399
DOC_ACC_SHOP_LEAD,110516
DOC_ACC_IT,103411
DOC_ACC_SHOP_LEAD,110526
DOC_ACC_SHOP_LEAD,110528
DOC_ACC_SHOP_LEAD,103421
DOC_ACC_SHOP_LEAD,103422
DOC_ACC_ITAR,103439
DOC_ACC_SHOP_LEAD,103425
DOC_ACC_SHOP_LEAD,110543
DOC_ACC_SHOP_LEAD,103429
DOC_ACC_HTR_PTYPE,103120
DOC_ACC_SHOP_LEAD,103120
DOC_ACC_SHOP_LEAD,103435
DOC_ACC_SHOP_LEAD,110413
DOC_ACC_EXT,120058
ARG_TSR_SA,120058
ARG_ECO_SA,120058
DOC_ACC_SHOP_LEAD,103436
DOC_ACC_SHOP_LEAD,110555
DOC_ACC_ITAR,110411
DOC_ACC_SHOP_LEAD,110554
DOC_ACC_MARKETING,103442
DOC_ACC_SHOP_LEAD,103444
DOC_ACC_ITAR,103430
DOC_ACC_SHOP_LEAD,103445
DOC_ACC_ENG,100555
DOC_ACC_SHOP_LEAD,110562
DOC_ACC_SHOP_LEAD,110570
DOC_ACC_ITAR,103406
DOC_ACC_SHOP_LEAD,103457
DOC_ACC_SHOP_LEAD,103460
DOC_ACC_SHOP_LEAD,103459
DOC_ACC_SHOP_LEAD,103458
